ds,unique_id,y
2023-07-01,0302000C0BRAABY,5280.0
2023-07-01,0913011V0BCAAAC,4140750.0
2023-07-01,0105010E0AAABAB,150039.0
2023-07-01,0604011L0BHABAX,45257.0
2023-07-01,0208020AAAAACAC,231764.0
2023-07-01,0208020Z0AAAAAA,211821.0
2023-07-01,21480000101,10261.0
2023-07-01,0208020Y0AAACAC,268880.0
2023-07-01,0209000C0AAAAAA,768331.0
2023-07-01,0704010U0AAAAAA,608750.0
2023-07-01,1404000H0AAANAN,16.0
2023-07-01,0204000H0AAAJAJ,678567.0
2023-07-01,0906040G0DGAADI,483795.0
2023-07-01,0302000AABBAAAA,4434.0
2023-07-01,0302000K0BDABAM,3744.0
2023-07-01,0208020AAAAABAB,130818.0
2023-07-01,0403010B0AAAGAG,1442346.0
2023-07-01,0601011A0BBABAB,11673.0
2023-07-01,0205051R0AAADAD,779117.0
2023-07-01,0407010H0AAAMAM,5453976.0
2023-07-01,0601023AKAAACAC,69022.0
2023-07-01,0601023ANAAAAAA,77035.0
2023-07-01,0212000B0AAABAB,2341284.0
2023-07-01,0301020Q0BBACAC,2346.0
2023-07-01,0601022B0AAABAB,2058887.0
2023-07-01,0304030C0BEABA3,1281.0
2023-07-01,0403030Q0AAABAB,661734.0
2023-07-01,0106040M0BCACAA,342168.0
2023-07-01,0301020Q0BCAAAD,80730.0
2023-07-01,0501130R0AAAGAG,81213.0
2023-07-01,0212000B0AAADAD,498805.0
2023-07-01,0109040N0BDABAQ,288835.0
2023-07-01,0302000Z0BBAAAA,2881.0
2023-07-01,0103050P0AAAAAA,3273757.0
2023-07-01,0103050L0AAABAB,605046.0
2023-07-01,0601023ANAAABAB,82382.0
2023-07-01,0103050L0AAAAAA,860905.0
2023-07-01,0103010H0AAAAAA,117033.0
2023-07-01,0601012V0BBAEAD,6157.0
2023-07-01,0601023AEAAAAAA,94971.0
2023-07-01,0205051R0AAABAB,609934.0
2023-07-01,0208020Y0AAABAB,77555.0
2023-07-01,0407010H0AABGBG,1778384.0
2023-07-01,0803042W0BBAAAA,618.0
2023-07-01,0302000K0BHAAAM,1935.0
2023-07-01,0208020Z0AAABAB,611765.0
2023-07-01,0301011R0BIAFAP,22912.0
2023-07-01,0206020A0AAABAB,815239.0
2023-07-01,0602010V0AABXBX,779143.0
2023-07-01,0601011A0BBADAC,8943.0
2023-07-01,0601023AWBBACAC,864.0
2023-07-01,0601023AQBBABAB,3025.0
2023-07-01,0212000B0AAACAC,911896.0
2023-07-01,0403030D0AAAAAA,612074.0
2023-07-01,0403030Q0AAAAAA,758571.0
2023-07-01,0301040Y0BBAAAA,53560.0
2023-07-01,0602010V0AABZBZ,940563.0
2023-07-01,0704020AEAAABAB,91848.0
2023-07-01,0302000C0BQAABX,4592.0
2023-07-01,0602010V0AABWBW,775043.0
2023-07-01,0209000A0AAABAB,1115191.0
2023-07-01,0601012S0BGAFAI,14157.0
2023-07-01,0302000C0BQABBZ,1719.0
2023-07-01,0401010ADAACZCZ,49920.0
